for_sorting,lemma_la,lemma_mkh,gender_la,gender_modified,etymologies,sharedgrammaticalinfo,partofspeech_1,morphology_la,ka,en,ru,source
a,ajqʼĭ,აჲყი̆,b d,B,,n,,"ajqʼi, ejqʼi; ajqʼeⁿ","სიპი ქვა, ფიქალი","smooth rock, slate","шифер, сланец","**აჲყი̆** *ბ დ* (აჲყი, ეჲყი; აჲყეჼ) სიპი ქვა, ფიქალი"
a,ajrkel,აჲრქელ,v b,M,GE,n,,ajrkleⁿ,არქიელი,church hierarch,архиерей,**აჲრქელ** *ვ ბ* (აჲრქლეჼ) არქიელი
a,ajrɬ,აჲრლ’,b d,B,,n,,arɬuj; arɬoⁿ,"ყოჩი, ერკემალი","uncastrated ram, stud ram",баран производитель,"**აჲრლ’** *ბ დ* (არლ’უჲ; არლ’ოჼ) ყოჩი, ერკემალი"
a,ajtaɁŏ,აჲთაჸო̆,,M/F,,n,,ajtaɁuj; ajtaɁujⁿ,ნათლია,godparent,"крестный отец, мать, восприемник",**აჲთაჸო̆** დ დ (აჲთაჸუჲ; აჲთაჸუჲჼ) ნათლია
a,ajtʼno,აჲტნო,d d,D,,n,,,სიჩუმე,silence,тишина,**აჲტნო** *დ დ* სიჩუმე
a,ajtʼtʼvecʼiⁿ,აჲტტვეწიჼ,,,,,,,,,,**აჲტტვეწიჼ** უიღბლო[დ]
a,ajtʼtʼveⁿ,აჲტტვეჼ,,,,a,,,ბედნიერი,"happy, lucky",счастливый,**აჲტტვეჼ** ბედნიერი იხ. ატტივ
a,ajxno,აჲხნო,d d,,,,,ajxnoⁿ,,,,"**აჲხნო** *დ დ* (აჲხნოჼ) მოხნული, ნახნავი"
a,ajxnĭ,აჲხნი̆,d,D,,n,,,ნართი,(spun) yarn,"пряжа, прядь",**აჲხნი̆** *დ*  ნართი
a,ajħĭ,აჲჰ’ი̆,d,0d,,n,,ajħiⁿ,ნაწლავი,gut,кишка,**აჲჰ’ი̆** *დ* (აჲჰ’იჼ) ნაწლავი
a,ajš[ŭ],აჲშ[უ̆],,,,,,,,,,**აჲშ[უ̆]** ერგატივი იხ. შუ
a,ajšŭ,,,,,pro pers,,,,you (pl. erg.),,
a,aka,აქა,j,,,,,,,,,**აქა** *ჲ* ზედაპირი
a,akandaz,აქანდაზ,d d,D,GE,n,,akandazi,აქანდაზი,"dust-pan, scoop",совок,**აქანდაზ** *დ დ* (აქანდაზი) აქანდაზი
a,akaħ,აქაჰ’,,,,,,,,,,"**აქაჰ’** ზმნს. ზედ, ზევით"
a,akim,აქიმ,v b; j d,M/F,GE; Arab.,n,,"ajkmi, ajkmeⁿ",ექიმი,doctor,врач,"**აქიმ** *ვ ბ; ჲ დ* (აჲქმი, აჲქმეჼ) ექიმიიხ. დოხტურ."
a,aklam,აქლამ,d d,B,GE,n,,aklmi; ajklmeⁿ,აქლემი,camel,верблюд,**აქლამ** *დ დ* (აქლმი; აჲქლმეჼ) აქლემი
a,akliba-d-ar,აქლიბა-დ-არ,,,,,,,,,,**აქლიბა-დ-არ**  გრდმ. [გა]ქლიბვა
a,aklibad-d-ar,,,,GE,vt,,,[გა]ქლიბვა ([გა]ქლიბავს),"file, cut with file",перепилить напильником,
a,akʼ-d-alar,აკ-დ-ალარ,,,,,,,,,,**აკ-დ-ალარ** გრდუვ. ანთება (ინთება) სრ. დ-ჵაჸ-დ-ალარ
a,akʼ-d-ar1,აკ-დ-არ1,,,,,,,,,,**აკ-დ-არ1** - გრდმ. ჩამოყრა (ყრის)
a,akʼ-d-ar2,აკ-დ-არ2,,,,vt,,,კანკალი (აკანკალებს),make tremble,"трястись, дрожать",**აკ-დ-არ2**გრდმ. კანკალი (აკანკალებს)სრ. დ-ეკ-დ-არ2
a,akʼ-d-ar3,აკ-დ-არ3,,,,,,,,,,**აკ-დ-არ3** გრდმ. ანთება
a,akʼ-d-itar,აკ-დ-ითარ,,,,,,,,,,**აკ-დ-ითარ** გრდმ. ყრევინება (აყრევინებს)
a,akʼ-d-ujnĭ1,აკ-დ-უჲნი̆1,,,,,,,,,,"**აკ-დ-უჲნი̆1** მიმღ. მთრთოლვარე, მაკანკალებელი, მოკანკალე"
a,akʼ-d-ujnĭ2,აკ-დ-უჲნი̆2,,,,,,,,,,**აკ-დ-უჲნი̆2** მიმღ. 1. ასანთები 2. [და]მნთები
a,akʼakʼ,აკაკ,d d,D,GE,n,,akʼkʼi,აკაკი (ხე),nettle tree,"каркас, крапивное дерево",**აკაკ** *დ დ* (აკკი) აკაკი (ხე)
a,akʼamzi,აკამზი,j,,,,,,,,,**აკამზი** *ჲ* ხალიჩის საბეჭი დაზგა (მხოლობითი არა აქვს)
a,akʼar1,აკარ1,,,,vi,,,ცვივნა (ცვივა),"fall, lapse","опадать, спадать",**აკარ1** გრდუვ. ცვივნა (ცვივა)სრ. დ-ეკარ1
a,akʼar2,აკარ2,,,,vi stat,,,წვა,burn,гореть,**აკარ2**გრდუვ. სტატ. ნთება (ანთია);
a,akʼidŏ,აკიდო̆,d d,D,GE,n,,akʼiduj; akʼidujⁿ,აკიდო,string of fruit,связка (кистей винограда),**აკიდო̆** *დ დ* (აკიდუჲ; აკიდუჲჼ) აკიდო
a,akʼlebad-d-ar,აკლებად-დ-არ,,,GE,vt,,,აკლება,"devastate, tear down",разгромить,**აკლებად-დ-არ** გრდმ. აკლება
a,akʼmajzlob,აკმაჲზლობ,j j,J,GE,n,,,"აკაზმულობა, შეკაზმულობა",saddle and reins,"судя, убор (для лошади)","**აკმაჲზლობ** *ჲ ჲ* აკაზმულობა, შეკაზმულობა"
a,akʼujnĭ,აკუჲნი̆,,,,ptcp,,,"ანთებული (ის, რაც ანთია)",burning,горящий,"**აკუჲნი̆** მიმღ. ანთებული (ის, რაც ანთია)"
a,akʼvaⁿ,აკვაჼ,d d,D,GE,n,,akʼvni; akʼvneⁿ,აკვანი,cradle,"колыбель, люлька",**აკვაჼ** *დ დ* (აკვნი; აკვნეჼ) აკვანი
a,alam,ალამ,b d,B,GE,n,,almi; almeⁿ,"ალამი, დროშა","flag, banner",знамя,"**ალამ** *ბ დ* (ალმი; ალმეჼ) ალამი, დროშა"
a,alav,ალავ,d,D,GE,n,,,ალაო,barley malt,затхлая мука,**ალავ** *დ* ალაო
a,albat,ალბათ,,,,,,,,,,**ალბათ** ალბათ
a,albul,ალბულ,d d,D,GE,n,,,"ალაბულა, ჩალაბულა",dirt in liquid,"мусор, трава... в текучей воде","**ალბულ** *დ დ* ალაბულა, ჩალაბულა"
a,alisxeⁿ,ალისხეჼ,b d,B,GE,n,,alixsenbi; alisxeneⁿ,ალვის ხე,poplar,тополь,**ალისხეჼ** *ბ დ* (ალიხსენბი; ალისხენეჼ) ალვის ხე
a,ališ,ალიშ,,,,n,,,,hay,,**ალიშ** მრ. იხ. ჲოლ
a,almas,ალმას,d d,D,GE; RU,n,,almasi; almaseⁿ,ალმასი,diamond,алмаз,**ალმას**  *დ დ* (ალმასი; ალმასეჼ) ალმასი
a,alol,ალოლ,,,,,,,,,,**ალოლ** ჲ ბედნიერება
a,altab,ალთაბ,j j,J,GE,n,,altbi; altbeⁿ,ალთაფა,copper ewer/jug,медный кувшин,"**ალთაბ** *ჲ ჲ* (ალთბი; ალთბეჼ) ალთაფა, სპილენძის ხელსაბანი ჭურჭელი ჩაიდნის ტიპისა"
a,alubal,ალუბალ,b d,B,GE,n,,alubli; alubleⁿ,"ალუბალი (ხე, ნაყოფი)","sour cherry (tree, fruit)",вишня (плод и дерево),"**ალუბალ**  *ბ დ* (ალუბლი; ალუბლეჼ) ალუბალი (ხე, ნაყოფი)"
a,alx,ალხ,j j,J,GE,n,,alxeⁿ,ალხი,half-starved horse,захудалая лошадь,"**ალხ** *ჲ ჲ* (ალხეჼ) ალხი, ნაზამთრალი, მჭლე პირუტყვი"
