for_sorting,lemma_la,lemma_mkh,gender_la,gender_modified,etymologies,sharedgrammaticalinfo,partofspeech_1,morphology_la,ka,en,ru,source
d,d-aq-d-ar2,დ-აჴ-დ-არ2,,,,vt,,,ძუძუს წოვება,breastfeed,давать грудь,**დ-აჴ-დ-არ2** გრდმ. ძუძუს წოვება
d,d-aq-d-ijenŏ,დ-აჴ-დ-იჲენო̆,,,,ptcp,,,"გაზრდილი, აღზრდილი","grown, grown up","выращенный, воспитанный","**დ-აჴ-დ-იჲენო̆** მიმღ. გაზრდილი, აღზრდილი"
d,d-aqar1,დ-აჴარ1,,,,vt,,,"გამორთმევა (გამოართმევს); წართმევა, ართმევა; ამოღება (ამოიღებს), აყვანა, ამოყვანა, ამოძრობა, ამოთხრა; გამოჩეკა (გამოჩეკს)",take (away); take out; hatch (chicks),"взять, отнять; достать, взять, вынуть, выдернуть, вырыть; вылупить","**დ-აჴარ1** გრდმ. 1. გამორთმევა (გამოართმევს); წარმთმევა, ართმევა 2. ამოღება (ამოიღებს), აყვანა, ამოყვანა, ამოძრობა, ამოთხრა 3. გამოჩეკა (გამოჩეკს) იხ. დ-აახარ2  4. რთული ფუძის ან შესიტყვების შემადგენელი ნაწილი **ნიყ ბაჴარ** გრდმ. გზის გაყვანა; გზის გაკვლევა; **ქო დაჴარ** ხელის ჩამორთმევა; **ბჵარკ ბაჴარ** თვალის ამოღება; **ბუჰ’ ბაჴარ** ჩხუბის ატეხა"
d,d-aqar2,,,,,vi,,,მოწევა ([მო]სწევს),suck,сосать,
d,"d-aqqoŭxŭ, d-aqquuxŭ","დ-აჴჴოუ̆ხუ̆, დ-აჴჴუუხუ̆",,,,,,,,,,"**დ-აჴჴოუ̆ხუ̆, დ-აჴჴუუხუ̆** უფროსი, უფრო დიდი"
d,d-aqqoⁿ,დ-აჴჴოჼ,,,,a,,,დიდი,big,большой,**დ-აჴჴოჼ** დიდი *დ-აჴჴუჲშ* ზმნს. დიდად
d,d-aqʼ-d-ar,დ-აყ-დ-არ,,,,,,,,,,**დ-აყ-დ-არ**გრდმ. [გა]ხმობა ([გა]ახმობს)
d,"d-aqʼ-dajlnŏ, d-aqʼ-d-alinŏ","დ-აყ-დაჲლნო̆, დ-აყ-დ-ალინო̆",,,,,,,,,,"**დ-აყ-დაჲლნო̆, დ-აყ-დ-ალინო̆** მიმღ. გამხმარი"
d,d-aqʼaliⁿ,დ-აყალიჼ,,,,,,,,,,**დ-აყალიჼ** გამხდარი *(ექსპ.)*
d,d-aqʼar1,დ-აყარ1,,,,vt,,,ჭამა (ჭამს),eat,кушать,**დ-აყარ1** გრდმ. ჭამა (ჭამს)სრ. ჴალლარ1
d,d-aqʼar2,დ-აყარ2,,,,vi,,,,be annoying,,"**დ-აყარ2**გრდმ. ნაღვლობა, დარდობა (ნაღვლობს, დარდობს)"
d,d-aqʼiⁿ,დ-აყიჼ,,,,a,,,მშრალი,dry,,**დ-აყიჼ** ხმელი *(ქადაგიძ.)*
d,d-ar,დ-არ,,,,vt,,,ზმნისწინებთან,,,"**დ-არ** გრდმ. 1. შექმნა (შექმნის), კეთება 2. შობა 3. ქსოვა 4. ზმნისწინებთან 5. რთული ფუძის ან შესიტყვების შემადგენელი ნაწილი; აწარმოებს გარდამავალი შინაარსის მქონე ზმნას"
d,d-arcʼ-d-alar,,,,,vi,,,გატიტვლება ([გა]ტიტვლდება),get naked,"раздеться, раздеваться",
d,d-arcʼ-d-ar,,,,,vt,,,"გაშიშვლება ([გა]შიშვლებს), [გა]ტიტვლება","strip off, make naked","обнажить, обнажать, оголить, оголять",
d,"d-arcʼan-d-ar, d-arcʼ-d-ar","დ-არწან-დ-არ, დ-არწ-დ-არ",,,,,,,,,,"**დ-არწან-დ-არ, დ-არწ-დ-არ** გრდმ. გაშიშვლება ([გა]აშიშვლებს), [გა]ტიტვლება **არწ-დ-ალარ** გრდუვ. გატიტვლება ([გა]ტიტვლდება)"
d,d-arcʼinŏ,დ-არწინო̆,,,,ptcp,,,შიშველი; უბელი,naked,голый; неоседланный,**დ-არწინო̆** 1. შიშველი 2. უბელო
d,d-arlar,დ-არლარ,,,,vt,,,[გა]თლა (თლის) ჩათლა,"cut, carve","тесать, обтесать, вытесать, отстрогать","**დ-არლარ** გრდმ. [გა]თლა (თლის), ჩათლა"
d,d-arstʼ-d-ar,დ-არსტ-დ-არ,,,,vt,,,გასუქება ([გა]სუქებს),"make fat, fatten","откормить, откармливать",**დ-არსტ-დ-არ** გრდმ. გასუქება ([გა]ასუქებს)
d,d-arstʼeⁿ,დ-არსტეჼ,,,,,,,,,,**დ-არსტეჼ** მსუქანი *(ექსპ.)*
d,d-arstʼiⁿ,,,,,a,,,,"fat, thick",,
d,d-arstʼol,დ-არსტოლ,d,,,,,,,,,**დ-არსტოლ** *დ* სიმსუქნე
d,d-arž-d-alar,დ-არჟ-დ-ალარ,,,,,,,,,,**დ-არჟ-დ-ალარ** გრდუვ. გაშლა ([გა]იშლება)
d,d-arž-d-ar,დ-არჟ-დ-არ,,,,,,,,,,**დ-არჟ-დ-არ** გრდმ. [გა]შლა ([გა]შლის)
d,d-aržar,დ-არჟარ,,,,vi,,,გაშლა (გაიშლება),"be spread, be set, open up","распуститься, распусткатся",**დ-არჟარ** გრდუვ. გაშლა (გაიშლება)
d,d-as-d-ar,დ-ას-დ-არ,,,,,,,,,,"**დ-ას-დ-არ** გრდმ. დაცლა (დაცლის), გამოცლა"
d,d-as-d-ujnĭ,დ-ას-დ-უჲნი̆,,,,,,,,,,**დ-ას-დ-უჲნი̆** მიმღ. დასაცლელი
d,d-aseⁿ,დ-ასეჼ,,,,a,,,ცარიელი,empty,пустой,**დ-ასეჼ** ცარიელი
d,d-astʼ-d-ujnĭ,,,,,ptcp,,,მოსაშორებელი,to be removed,"то, что (кого) надо удалить, разлучить, увести",
d,d-astʼar,დ-ასტარ,,,,vt,,,"ახსნა ([ა]ხსნის), გახსნა; კუჭში გახსნა (გახსნის); გამოხსნა, დახსნა","untie, unfasten; have diarrhoea;  rescue, release","отвязать, отвязывать, развязать; расстроиться (о желудке); выручать, избавить","**დ-ასტარ** გრდმ. 1. ახსნა ([ა]ხსნის), გახსნა 2. კუჭში გახსნა (გახსნის)3. გამოხსნა, დახსნა"
d,d-astʼinŏ,დ-ასტინო̆,,,,,,,,,,"**დ-ასტინო̆** მიმღ. გახსნილი, გარღვეული, დარღვეული"
d,d-attar,დ-ათთარ,,,,vt,,,"შეწვა ([შე]წვავს), [გამო]ცხობა","roast, bake","(по)жарить, (с)печь","**დ-ათთარ** გრდმ. შეწვა ([შე]წვავს), [გამო]ცხობა"
d,d-attinŏ,დ-ათთინო̆,,,,,,,,,,**დ-ათთინო̆** მიმღ. შემწვარი
d,d-atxar,დ-ათხარ,,,,vi,,,ტირილი (ტირის),"cry, weep",плакать,**დ-ათხარ** გრდუვ. ტირილი (ტირის)
d,d-atʼ-d-ar1,დ-ატ-დ-არ1,,,,vt,,,გაქცევა ([გა]აქცევს),make sb run away; rush away,"заставить бежать, убежать",**დ-ატ-დ-არ1**  გრდმ. გაქცევა ([გა]აქცევს)
d,d-atʼ-d-ar2,დ-ატ-დ-არ2,,,,vt,,,გახეთქა (გახეთქს),"split, cleave, break open","расколоть, расщепить, разорвать, разодрать","**დ-ატ-დ-არ2**გრდმ. გახეთქა (გახეთქს), ჩახეთქა; გაპობა; გახევა, ჩახევა"
d,d-atʼ-d-ujnĭ,,,,,ptcp,,,მოსატაცებელი,"to be stolen, abducted","то, что надо похитить",
d,d-atʼ-dujnĭ,დ-ატ-დუჲნი̆,,,,,,,,,,**დ-ატ-დუჲნი̆** მიმღ. მოსატაცებელი
d,d-atʼar1,დ-ატარ1,,,,vi,,,გაქცევა (გაიქცევა),run off,убежать,**დ-ატარ1** გრდუვ. გაქცევა (გაიქცევა)
d,d-atʼar2,დ-ატარ2,,,,vi,,,"გასკდომა (გასკდება), ამოხეთქა","break, burst, crack","лопнуть, треснуть","**დ-ატარ2**  გრდუვ. გასკდომა (გასკდება), ამოხეთქა *უსრ. ეტარ*"
d,d-atʼar3,დ-ატარ3,,,,vi,,,ყრა (ყრია),"lie about, lie scattered",валяться,**დ-ატარ3**გრდუვ. ყრა (ყრია)
d,d-av-d-alar,დ-ავ-დ-ალარ,,,,,,,,,,**დ-ავ-დ-ალარ**  გრდუვ. შემსუბუქება (შემსუბუქდება)
d,d-av-d-ar1,დ-ავ-დ-არ1,,,,,,,,,,**დ-ავ-დ-არ1** გრდმ. [და]კარგა ([და]კარგავს)
d,d-av-d-ar2,დ-ავ-დ-არ2,,,,,,,,,,"**დ-ავ-დ-არ2** მრ. გრდმ. ხოცვა (ხოცავს), კვლა"
d,d-av-d-ar3,დ-ავ-დ-არ3,,,,,,,,,,**დ-ავ-დ-არ3** გრდმ. შემსუბუქება ([შე]ამსუბუქებს)
d,d-av-dijenŏ1,დ-ავ-დიჲენო̆1,,,,,,,,,,**დ-ავ-დიჲენო̆1** მიმღ. დაკარგული (ვინც ან რაც დაკარგეს)
d,d-av-dijenŏ2,დ-ავ-დიჲენო̆2,,,,,,,,,,**დ-ავ-დიჲენო̆2** მიმღ. დახოცილი
d,d-avar1,დ-ავარ1,,,,vi,,,დაკარგვა ([და]იკარგება),be lost,(по)терятся,**დ-ავარ1** გრდუვ. დაკარგვა ([და]იკარგება)
d,d-avar2,დ-ავარ2,,,,vi,,,,pl,,**დ-ავარ2** გრდუვ. [და]ხოცვა ([და]იხოცება)
d,d-avinŏ1,დ-ავინო̆1,,,,,,,,,,**დ-ავინო̆1** მიმღ. დაკარგული
d,d-avinŏ2,დ-ავინო̆2,,,,,,,,,,**დ-ავინო̆2** მიმღ. დახოცილი
d,d-aviš,დ-ავიშ,,,,adv,,,იაფად,cheap,дешево,**დ-ავიშ** ზმნს. იაფად
d,d-aviⁿ,დ-ავიჼ,,,,a,,,მსუბუქი; მჩატე (ჭკუის),light; light-headed,легкий; легкомысленный,**დ-ავიჼ** 1. მსუბუქი 2. მჩატე (ჭკუისა)
d,d-avol,დ-ავოლ,,,,,,,,,,**დ-ავოლ** სიმსუბუქე (ჭკუისა)
d,d-axar1,დ-ახარ1,,,,vi,,,წასვლა (წავა),go,уйти,**დ-ახარ1** გრდუვ. წასვლა (წავა)
d,d-axar2,დ-ახარ2,,,,vi,,,[და]თრობა ([და]თვრება),get drunk,"опьянеть, пьянеть",**დ-ახარ2** გრდუვ. [და]თრობა ([და]თვრება)
d,d-axinŏ1,დ-ახინო̆1,,,,,,,,,,**დ-ახინო̆1** მიმღ. ნახადი (არაყი)
d,d-axinŏ2,დ-ახინო̆2,,,,,,,,,,**დ-ახინო̆2** მიმღ. ნაცხოვრები
d,d-axitar,დ-ახითარ,,,,,,,,,,**დ-ახითარ** - გრდმ. 1. გაშვება *([გა]უშვებს)*
d,d-axkʼ-d-alar,დ-ახკ-დ-ალარ,,,,vi,,,დალპობა (დალპება),rot,сгнить,**დ-ახკ-დ-ალარ** გრდუვ. დალპობა (დალპება)
d,"d-axkʼ-d-alinŏ, d-axkʼ-d-ajlnŏ","დ-ახკ-დ-ალინო̆, დ-ახკ-დ-აჲლნო̆",,,,,,,,,,"**დ-ახკ-დ-ალინო̆, დ-ახკ-დ-აჲლნო̆** მიმღ. დამპალი"
d,d-axkʼ-d-ar1,დ-ახკ-დ-არ1,,,,,,,,,,"**დ-ახკ-დ-არ1** გრდმ. [და]ლპობა ([და]ალპობს), ჩალპობა"
d,d-axkʼ-d-ar2,დ-ახკ-დ-არ2,,,,vt,,,,pl,,**დ-ახკ-დ-არ2** გრდმ. მორეკვა (მორეკავს)
d,d-axkʼ-d-ujni,დ-ახკ-დ-უჲნი,,,,,,,,,,"**დ-ახკ-დ-უჲნი** მიმღ. მომყვანი, მომრეკი"
d,d-axkʼar,დ-ახკარ,,,,vi,,,,pl,,**დ-ახკარ** გრდუვ. მოსვლა
d,d-axrikʼ[aɁ],დ-ახრიკ[აჸ],,,,,,,,,,"**დ-ახრიკ[აჸ]** ლოთი, მსმელი"
d,d-axx-dar1,დ-ახხ-დარ1,,,,,,,,,,**დ-ახხ-დარ1** გრდმ. [და]ხრჩობა ([და]ახრჩობს)
d,d-axx-dar2,დ-ახხ-დარ2,,,,,,,,,,**დ-ახხ-დარ2** გრდმ. დაგრძელება ([და]აგრძელებს)
d,d-axxar,დ-ახხარ,,,,vi,,,დახრჩობა ([და]იხრჩობა),drown,"утонуть, тонуть",**დ-ახხარ** გრდუვ. დახრჩობა ([და]იხრჩობა)
d,d-axxeⁿ,დ-ახხეჼ,,,,a,,,გრძელი,long,длинный,**დ-ახხეჼ** გრძელი
d,d-ačkʼar-d-alar,დ-აჩკარ-დ-ალარ,,,,vi,,,დაჩლუნგება ([და]ჩლუნგდება),become blunt,"притупиться, тупиться",**დ-აჩკარ-დ-ალარ** გრდუვ. დაჩლუნგება ([და]ჩლუნგდება)
d,d-ačkʼar-d-ar,დ-აჩკარ-დ-არ,,,,vt,,,[და]ჩლუნგება ([და]აჩლუნგებს),make blunt,"притупить, тупить",**დ-აჩკარ-დ-არ** გრდმ. [და]ჩლუნგება ([და]აჩლუნგებს)
d,d-ačʼar,დ-აჭარ,,,,vt,,,ღრღნა (ღრღნის),gnaw,грызть,**დ-აჭარ** გრდმ. ღრღნა (ღრღნის)
d,d-ağar,დ-აღარ,,,,vi,,,მოსვლა (მოდის),come,приходить,**დ-აღარ** გრდუვ. [მო]სვლა ([მო]დის) სრ. დაჸარ
d,d-aħar1,დ-აჰ’არ1,,,,vt,,,მოტანა (მოაქვს),bring,приносить,**დ-აჰ’არ1** გრდმ. წაღება (წაიღებს) უსრ. დ-ოტ-დ-არ
d,d-aħar2,დ-აჰ’არ2,,,,vt,,,"[და]კოდვა ([და]კოდავს), დასაჭურისება",castrate,кастрировать,**დ-აჰ’არ2** გრდმ. მოტანა (მოაქვს) სრ. დ-აჸარ
d,d-aħar3,დ-აჰ’არ3,,,,,,,,,,"**დ-აჰ’არ3** გრდმ. [და]კოდვა ([და]კოდავს), დასაჭურისება"
d,d-aħinŏ1,დ-აჰ’ინო̆1,,,,,,,,,,**დ-აჰ’ინო̆1** მიმღ. წაღებული
d,d-aħinŏ2,დ-აჰ’ინო̆2,,,,,,,,,,**დ-აჰ’ინო̆2** მიმღ. დაკოდილი
d,d-aħitar,დ-აჰ’ითარ,,,,vt,,,"[გა]გზავნა ([გა]გზავნის), გადაგზავნა",send,"послать, посылать, переслать, пересылать","**დ-აჰ’ითარ** გრდმ. [გა]გზავნა ([გა]გზავნის), გადაგზავნა"
d,d-aš-d-ar,დ-აშ-დ-არ,,,,,,,,,,"**დ-აშ-დ-არ** გრდმ. 1. [გა]დნობა ([გა]ადნობს), გადადნობა, [ჩა]დნობა2. დალბობა"
d,d-ašar,დ-აშარ,,,,vi,,,[გა]დნობა ([გა]დნება),"melt, thaw",(рас)таять,**დ-აშარ** გრდუვ. [გა]დნობა ([გა]დნება)
d,d-ašinŏ1,დ-აშინო̆1,,,,,,,,,,"**დ-აშინო̆1** მიმღ. გამდნარი, დამდნარი"
d,d-ašinŏ2,დ-აშინო̆2,,,,,,,,,,"**დ-აშინო̆2**  მიმღ. გადაპარსული, გაპარსული"
d,d-až-d-ar,დ-აჟ-დ-არ,,,,,,,,,,**დ-აჟ-დ-არ** გრდმ. ძოვება (აძოვებს)
d,d-ažar,დ-აჟარ,,,,vi,,,ძოვა (ძოვს),graze,пастись,**დ-აჟარ** გრდუვ. ძოვა (ძოვს)
d,d-aɁar,დ-აჸარ,,,,vt,vi,,,,,**დ-აჸარ** 1. გრდუვ. მოსვლა (მოვა) 2. გრდმ. მოტანა (მოიტანს) *უსრ. დ-აჰ’არ2*
d,d-aɁitar1,დ-აჸითარ1,,,,,,,,,,"**დ-აჸითარ1** გრდმ. 1. გამოგზავნა (გამოგზავნის) 2. გაშვება, შემოშვება"
d,d-aɬ-d-alar,დ-ალ’-დ-ალარ,,,,,,,,,,**დ-ალ’-დ-ალარ** - გრდუვ. მიცემა (მიეცემა)
d,d-aɬar1,დ-ალ’არ1,,,,vt,,,მისცა (მისცემს),give,"дать, отдать",**დ-ალ’არ1** გრდმ. მიცემა (მისცემს)*უსრ. თელ’არ*
d,d-aɬar2,დ-ალ’არ2,,,,vi,,,"გაჩენა (გაჩნდება); გახდომა, ატყდომა; ამოსვლა, ასვლა; გავარდნა",appear; become; burst out; go up; rush out,"возникнуть, произойти; пробиться, взойти; выстрелить","**დ-ალ’არ2** გრდუვ. 1. გაჩენა (გაჩნდება); გახდომა, ატყდომა 2. ამოსვლა, ასვლა 3. გავარდნა"
d,d-aɬinŏ,დ-ალ’ინო̆,,,,,,,,,,**დ-ალ’ინო̆** მიმღ. მიცემული
d,d-aɬitar,დ-ალ’ითარ,,,,,,,,,,"**დ-ალ’ითარ** 1. მიცემინება 2. გაშვება, ამოშვება"
d,"d-ebcʼar, d-epʼcʼar","დ-ებწარ, დ-ეპწარ",,,,,,,,,,"**დ-ებწარ, დ-ეპწარ** გრდმ. მიბმა (აბამს) სრ. დ-ოწარ"
d,d-ebl-d-alar,დ-ებლ-დ-ალარ,,,,vi,,,დაწყება (იწყებს),begin,начинаться,**დ-ებლ-დ-ალარ**  გრდუვ. დაწყება (იწყება)
d,d-ebl-d-ar,დ-ებლ-დ-არ,,,,vt,,,დაწყება (იწყებს),begin,начинать,**დ-ებლ-დ-არ** გრდმ. დაწყება (იწყებს)
d,d-eblad,დ-ებლად,,,,,,,,,,**დ-ებლად** გრდმ. 1. დადება (დებს)სრ. დ-ილლარ 2. ჩადება (დებს) სრ. დ-ოლლარ
d,d-eblar,,,,,vt,,,დადება (დებს); ჩადება (დებს),"place, put, lay","класть (на поверхность); вкладывать, класть (внутрь)",
d,d-ebž-d-ar,დ-ებჟ-დ-არ,,,,,,,,,,**დ-ებჟ-დ-არ**  გრდმ. [წა]ქცევა ([წა]აქცევს) *სრ. დ-ოჟ-დ-არ*
d,d-ebžar1,დ-ებჟარ1,,,,vi,,,წაქცევა (იქცევს),fall down,падать,**დ-ებჟარ1** გრდუვ. წაქცევა (იქცევა) იხ. დ-ოჟარ
d,d-ebžar2,დ-ებჟარ2,,,,vt,,,"შეტანა (ტენის), შედებ, გაყრა; შებმა (აბამს ხარებს ურემში)","put in, put trough, stuff; yoke up","всовывать, вдевать; впрягать (быков в повозку)","**დ-ებჟარ2** გრდმ. 1. შეტენა (ტენის), შედება, გაყრა 2. შებმა (აბამს ხარებს ურემში) სრ. დ-ოჟარ3"
d,d-ecʼ-d-ar,დ-ეწ-დ-არ,,,,vt,,,"[შე]ყვარება ([შე]აყვარებს, შეიყვარებს)","fall in love, make sb fall in love",заставить (по)любить,"**დ-ეწ-დ-არ**  გრდმ. [შე]ყვარება ([შე]აყვარებს, შეიყვარებს)"
d,d-ecʼar,დ-ეწარ,d d,,,,,,,,,"**დ-ეწარ** *დ დ* სატრფო, საყვარელი"
d,d-ecʼar,დ-ეწარ,,,,,,,,,,"**დ-ეწარ** გრდუვ. 1. სიყვარული (უყვარს), ნდომა 2. მეშველი ზმნა (ინფინიტივთან) უნდა"
d,d-ecʼar1,,,,,n,vi,,,,,
d,d-ecʼaⁿ d-olar,დ-ეწაჼ დ-ოლარ,,,,,,,,,,**დ-ეწაჼ დ-ოლარ** შეყვარება (შეუყვარდება)
d,d-ecʼeħ[ĕ],დ-ეწეჰ’[ე̆],,,,,,,,,,**დ-ეწეჰ’[ე̆]** ჩართ. სიტყვა გინდ[ა] შდრ. დ-ეწარ.
d,d-ecʼeħĕ,,,,,conj,,,გინდ[ა],if you want; whether ... or,"или, хоть, если, должно",
d,d-ecʼinĭ,დ-ეწინი̆,,,,,,,,,,"**დ-ეწინი̆** მიმღ. საყვარელი, სანდომი, საჭირო"
d,d-ecʼlajnĭ,დ-ეწლაჲნი̆,,,,,,,,,,"**დ-ეწლაჲნი̆** მიმღ. სანდომიანი, საყვარელი"
d,d-eepx-d-alar,დ-ეეფხ-დ-ალარ,,,,,,,,,,**დ-ეეფხ-დ-ალარ** გრდუვ. ჩაცმა (იცვამს); სრ. დ-ოფხ-დ-ალარ2
d,d-eepx-d-ar,დ-ეეფხ-დ-არ,,,,,,,,,,**დ-ეეფხ-დ-არ** გრდმ. ჩაცმევა (აცმევს); შეკაზმვა (ცხენისა);სრ. დ-ოფხ-დარ2
d,d-ek-d-ar,დ-ექ-დ-არ,,,,,,,,,,**დ-ექ-დ-არ** გრდმ. 1. დაძახება (დააძახებინებს) დაყვირებინება 2. შევედრება (შეავედრებს) აღთქმა (აღუთქვამს)
d,"d-ek-d-ujnĭ, d-ek-d-aⁿ d-ecʼinĭ","დ-ექ-დ-უჲნი̆, დ-ექ-დ-აჼ დ-ეწინი̆",,,,,,,,,,"**დ-ექ-დ-უჲნი̆, დ-ექ-დ-აჼ დ-ეწინი̆** მიმღ. შესაწირავი (დასათქმელი), შესავედრებელი"
d,d-ekar,დ-ექარ,,,,vt,,,"დაძახება (დაიძახებს, დაუძახებს), დაყვირება","call, summon","позвать, крикнуть","**დ-ექარ** გრდმ. დაძახება (დაიძახებს, დაუძახებს), დაყვირება; უსრ. ჴექარ"
d,d-ekinŏ,დ-ექინო̆,,,,,,,,,,**დ-ექინო̆** მიმღ. დაძახებული
d,d-ekʼ-d-ar1,დ-ეკ-დ-არ1,,,,vt,,,,pl,,"**დ-ეკ-დ-არ1** გრდმ. ჩამოყრა, ჩაყრა, გადმოყრა უსრ. აკ-დ-არ"
d,d-ekʼ-d-ar2,დ-ეკ-დ-არ2,,,,vt,,,აკანკალება (აკანკალებს),"tremble, shiver, shake","трястись, трясти (от лихорадки)",**დ-ეკ-დ-არ2** გრდმ. აკანკალება (ააკანკალებს)სრ. აკ-დ-არ
d,d-ekʼar,დ-ეკარ,,,,vi,,,"დაცვენა (და[ს]ცვივა), ჩამოცვენა, ჩაცვენა",fall,"осыпать, осыпаться","**დ-ეკარ** გრდუვ. დაცვენა (და[ს]ცვივა), ჩამოცვენა, ჩაცვენა უსრ. აკარ1"
d,d-el-d-ar,დ-ელ-დ-არ,,,,,,,,,,**დ-ელ-დ-არ** გრდმ. გაცინება ([გა]აცინებს)
d,d-elar,დ-ელარ,d,D,,vt,n,,,,,**დ-ელარ** *დ* 1. სიცილი 2. გრდუვ. სიცილი (იცინის)
d,d-elinĭ,დ-ელინი̆,,,,,,,,,,**დ-ელინი̆** მიმღ. მოცინარი
d,d-epcar,დ-ეფცარ,,,,vt,,,"წვნა (წნავს), ქსელვა; ქსოვა; მოყოლა (ყვება, მოჰყვება)","plait, weave, spin; recount, tell","плести, вязать, ткать; рассказывать","**დ-ეფცარ** გრდმ. 1. წვნა (წნავს), ქსელვა; ქსოვა სრ. დ-ოფცარ 2. მოყოლა (ყვება, მოჰყვება)"
d,d-epcujnĭ,,,,,ptcp,,,"შესაწირავი, შესავედრებელი (ზვარაკი)","plea, offering",обещанный (богу для жертвоприношения),
d,d-eplar,დ-ეფლარ,,,,vi,,,ძრომა (ძვრება); გადაჯდომა; ჟონვა,"move, creep, squeeze; chamge seat; seep, leak","лезть, лазить, вползать; пропитываться; просачиваться",**დ-ეფლარ** გრდუვ. 1. ძრომა (ძვრება)2. გაჯდომა 3. ჟონვა უსრ. დ-ოლ’არ
d,d-eps-d-ar,დ-ეფს-დ-არ,,,,vt,,,გაბერვა (ბერავს),inflate,вздувать,**დ-ეფს-დ-არ** გრდმ. გაბერვა (ბერავს) სრ. დ-ოფს-დ-არ
d,d-epsar,დ-ეფსარ,,,,vi,,,ბერვა (იბერება),be infated,"раздуваться, дуться, пыжиться",**დ-ეფსარ** გრდუვ. ბერვა (იბერება)
d,d-epx-d-alar,დ-ეფხ-დ-ალარ,,,,vi,,,"გაცხელება (ცხელდება), [გა]თბობა","be heated, get warm","греться, согреваться","**დ-ეფხ-დ-ალარ** გრდუვ. გაცხელება (ცხელდება), [გა]თბობა*;* სრ. დ-ოფხ-დ-ალარ1"
d,d-epx-d-ar,დ-ეფხ-დ-არ,,,,,,,,,,**დ-ეფხ-დ-არ** გრდმ. [გა]ცხელება (აცხელებს); სრ. დ- ოფხ-დ-არ1
d,d-epxar,დ-ეფხარ,,,,vt,,,ჩაცმა (იცვამს),to put on sth,"одевать (на себя), надевать",**დ-ეფხარ** გრდმ. ჩაცმა (იცვამს);სრ. დ-ოფხარ
d,d-epxsepx-d-ar1,,,,,vt,,,,,,
d,d-epxsepx-d-ar2,,,,,vt,,,,heat up quickly,,
d,d-epš-d-ar,დ-ეფშ-დ-არ,,,,,,,,,,"**დ-ეფშ-დ-არ** გრდმ. ფხვნა (ფხვნის), ფშვნა, მსხვრევა; სრ. დ-ოფშ-დ-არ"
d,d-epšar,დ-ეფშარ,,,,vi,,,"დაფხვნა (იფხვნება), ფშვნა","be crumbled, crushed","крошиться, изломаться, раздробляться","**დ-ეფშარ** გრდუვ. დაფხვნა (იფხვნება), ფშვნა; სრ. დ-ოფშარ"
d,d-epšrikʼ,დ-ეფშრიკ,,,,,,,,,,**დ-ეფშრიკ** ფხვიერი
d,d-epʼcʼar,,,,,vt,,,მიბმა (აბამს),tie up,привязывать,
d,d-epʼtʼar,დ-ეპტარ,,,,vt,,,ყლაპვა,swallow,глотать,**დ-ეპტარ** გრდმ. ყლაპვა სრ. დ-ოპტარ.
d,d-epʼtʼrikʼ,დ-ეპტრიკ,,,,,,,,,,"**დ-ეპტრიკ** მყლაპავი, ყლაპია"
d,d-eqar,დ-ეჴარ,,,,vt,,,გადახდა (გადაიხდის),pay,"выплатить, уплатить",**დ-ეჴარ** გრდმ. გადახდა (გადაიხდის)*; უსრ. აჴარ*
d,d-equjnĭ,დ-ეჴუჲნი̆,,,,,,,,,,**დ-ეჴუჲნი̆** მიმღ. 1. გადასახდელი 2. გადამხდელი
d,d-eqʼar,დ-ეყარ,,,,vt,,,გაყოფა (გაყოფს),"divide, separate, split",разделить,**დ-ეყარ** გრდმ. გაყოფა (გაყოფს)
d,d-eqʼinŏ,დ-ეყინო̆,,,,,,,,,,**დ-ეყინო̆** მიმღ. გაყოფილი
d,d-eqʼitar,დ-ეყითარ,,,,,,,,,,**დ-ეყითარ** გრდმ. გაყოფინება; უსრ. აყითარ
d,d-eqʼujnĭ,დ-ეყუჲნი̆,,,,,,,,,,"**დ-ეყუჲნი̆** მიმღ. 1. გამყოფი, 2. გასაყოფი"
d,d-ercʼ-d-ar,დ-ერწ-დ-არ,,,,,,,,,,"**დ-ერწ-დ-არ** გრდმ. დატრიალება (დაატრიალებს); მიტრიალება, დაბრუნება (დააბრუნებს, დაუბრუნებს), მიბრუნება"
d,d-ercʼ-ħarcʼar,დ-ერწ-ჰ’არწარ,,,,,,,,,,"**დ-ერწ-ჰ’არწარ** გრდუვ. მიბრუნ-მობრუნება, დატრიალება (საქმეზე)"
d,d-ercʼar,დ-ერწარ,,,,vi,,,"მოტრიალება (მოტრიალდება), დატრილდება; მობრუნება, მიბრუნება","turn around, return","повернуться, завернуть, закружиться, пойти обратно","**დ-ერწარ** გრდუვ. მოტრიალება (მოტრიალდება), დატრიალება, მობრუნება, მიბრუნება"
d,d-ercʼila,დ-ერწილა,d d,,,,,,,,,"**დ-ერწილა** *დ დ* მისაბრუნი, მოსაბრუნი, მოსახვევი"
d,d-estʼar,დ-ესტარ,,,,vi,,,გასივება ([გა]სივდება),swell up,"распухнуть, распухать",**დ-ესტარ** გრდუვ. გასივება ([გა]სივდება)
d,d-ett-d-alar1,დ-ეთთ-დ-ალარ1,,,,vi,,,ჩასხმა (ისხმება),"pour, fill",наливается,**დ-ეთთ-დ-ალარ1** გრდუვ. ჩასხმა (ისხმება) სრ. დ-ოთთ-დალარ1
